sorting_algorithm, array_size, run_time, num_of_process, num_of_thread
mpi_openmp_quick, 50000000, 3.348027, 6, 2
mpi_openmp_merge, 50000000, 4.924182, 6, 2
mpi_openmp_quick, 50000000, 3.448556, 6, 3
mpi_openmp_merge, 50000000, 4.581812, 6, 3
mpi_openmp_quick, 50000000, 3.429967, 6, 4
mpi_openmp_merge, 50000000, 4.637382, 6, 4
mpi_openmp_quick, 50000000, 3.384666, 6, 5
mpi_openmp_merge, 50000000, 4.897165, 6, 5
mpi_openmp_quick, 50000000, 3.375188, 6, 6
mpi_openmp_merge, 50000000, 4.677466, 6, 6
mpi_openmp_quick, 50000000, 3.585104, 6, 7
mpi_openmp_merge, 50000000, 4.687926, 6, 7
mpi_openmp_quick, 50000000, 3.407623, 6, 8
mpi_openmp_merge, 50000000, 4.609477, 6, 8
mpi_openmp_quick, 50000000, 3.228998, 7, 1
mpi_openmp_merge, 50000000, 4.422440, 7, 1
mpi_openmp_quick, 50000000, 3.146276, 7, 2
mpi_openmp_merge, 50000000, 4.603858, 7, 2
mpi_openmp_quick, 50000000, 3.198632, 7, 3
mpi_openmp_merge, 50000000, 4.619206, 7, 3
mpi_openmp_quick, 50000000, 3.205793, 7, 4
mpi_openmp_merge, 50000000, 4.722461, 7, 4
mpi_openmp_quick, 50000000, 3.194118, 7, 5
mpi_openmp_merge, 50000000, 4.488851, 7, 5
mpi_openmp_quick, 50000000, 3.173649, 7, 6
mpi_openmp_merge, 50000000, 4.610838, 7, 6
mpi_openmp_quick, 50000000, 3.195004, 7, 7
mpi_openmp_merge, 50000000, 4.645083, 7, 7
mpi_openmp_quick, 50000000, 3.185192, 7, 8
mpi_openmp_merge, 50000000, 4.544818, 7, 8
mpi_openmp_quick, 50000000, 3.206780, 8, 1
mpi_openmp_merge, 50000000, 4.478390, 8, 1
mpi_openmp_quick, 50000000, 3.066249, 8, 2
mpi_openmp_merge, 50000000, 4.728011, 8, 2
mpi_openmp_quick, 50000000, 3.057859, 8, 3
mpi_openmp_merge, 50000000, 4.653841, 8, 3
mpi_openmp_quick, 50000000, 3.180458, 8, 4
mpi_openmp_merge, 50000000, 4.513405, 8, 4
mpi_openmp_quick, 50000000, 3.109103, 8, 5
mpi_openmp_merge, 50000000, 4.634256, 8, 5
mpi_openmp_quick, 50000000, 3.219967, 8, 6
mpi_openmp_merge, 50000000, 4.801472, 8, 6
mpi_openmp_quick, 50000000, 3.119911, 8, 7
mpi_openmp_merge, 50000000, 4.336927, 8, 7
mpi_openmp_quick, 50000000, 3.108387, 8, 8
mpi_openmp_merge, 50000000, 4.403678, 8, 8
mpi_openmp_quick, 100000000, 22.571826, 1, 1
mpi_openmp_merge, 100000000, 34.828830, 1, 1
mpi_openmp_quick, 100000000, 22.291303, 1, 2
mpi_openmp_merge, 100000000, 33.922551, 1, 2
mpi_openmp_quick, 100000000, 22.216030, 1, 3
mpi_openmp_merge, 100000000, 33.795089, 1, 3
mpi_openmp_quick, 100000000, 22.451868, 1, 4
mpi_openmp_merge, 100000000, 34.160999, 1, 4
mpi_openmp_quick, 100000000, 22.249602, 1, 5
mpi_openmp_merge, 100000000, 34.122891, 1, 5
mpi_openmp_quick, 100000000, 22.105997, 1, 6
mpi_openmp_merge, 100000000, 34.177001, 1, 6
mpi_openmp_quick, 100000000, 22.188067, 1, 7
mpi_openmp_merge, 100000000, 34.194487, 1, 7
mpi_openmp_quick, 100000000, 22.112200, 1, 8
mpi_openmp_merge, 100000000, 33.857083, 1, 8
mpi_openmp_quick, 100000000, 12.515943, 2, 1
mpi_openmp_merge, 100000000, 19.184731, 2, 1
mpi_openmp_quick, 100000000, 12.373185, 2, 2
mpi_openmp_merge, 100000000, 18.605056, 2, 2
mpi_openmp_quick, 100000000, 12.505751, 2, 3
mpi_openmp_merge, 100000000, 18.879925, 2, 3
mpi_openmp_quick, 100000000, 12.378450, 2, 4
mpi_openmp_merge, 100000000, 18.406512, 2, 4
mpi_openmp_quick, 100000000, 12.471891, 2, 5
mpi_openmp_merge, 100000000, 18.727252, 2, 5
mpi_openmp_quick, 100000000, 12.405807, 2, 6
mpi_openmp_merge, 100000000, 18.938063, 2, 6
mpi_openmp_quick, 100000000, 12.488290, 2, 7
mpi_openmp_merge, 100000000, 18.596107, 2, 7
mpi_openmp_quick, 100000000, 12.441487, 2, 8
mpi_openmp_merge, 100000000, 18.977645, 2, 8
mpi_openmp_quick, 100000000, 10.378406, 3, 1
mpi_openmp_merge, 100000000, 13.139506, 3, 1
mpi_openmp_quick, 100000000, 9.560623, 3, 2
mpi_openmp_merge, 100000000, 13.282996, 3, 2
mpi_openmp_quick, 100000000, 9.532075, 3, 3
mpi_openmp_merge, 100000000, 13.126145, 3, 3
mpi_openmp_quick, 100000000, 9.604523, 3, 4
mpi_openmp_merge, 100000000, 13.157026, 3, 4
mpi_openmp_quick, 100000000, 9.497299, 3, 5
mpi_openmp_merge, 100000000, 13.168962, 3, 5
mpi_openmp_quick, 100000000, 9.491944, 3, 6
mpi_openmp_merge, 100000000, 13.185140, 3, 6
mpi_openmp_quick, 100000000, 9.612393, 3, 7
mpi_openmp_merge, 100000000, 13.134104, 3, 7
mpi_openmp_quick, 100000000, 9.604595, 3, 8
mpi_openmp_merge, 100000000, 13.308415, 3, 8
mpi_openmp_quick, 100000000, 7.784113, 4, 1
mpi_openmp_merge, 100000000, 11.860742, 4, 1
mpi_openmp_quick, 100000000, 7.819513, 4, 2
mpi_openmp_merge, 100000000, 11.015253, 4, 2
mpi_openmp_quick, 100000000, 7.931815, 4, 3
mpi_openmp_merge, 100000000, 12.021717, 4, 3
mpi_openmp_quick, 100000000, 8.098612, 4, 4
mpi_openmp_merge, 100000000, 11.254691, 4, 4
mpi_openmp_quick, 100000000, 7.947191, 4, 5
mpi_openmp_merge, 100000000, 11.195255, 4, 5
mpi_openmp_quick, 100000000, 7.825179, 4, 6
mpi_openmp_merge, 100000000, 11.373055, 4, 6
mpi_openmp_quick, 100000000, 7.831022, 4, 7
mpi_openmp_merge, 100000000, 10.969383, 4, 7
mpi_openmp_quick, 100000000, 7.681558, 4, 8
mpi_openmp_merge, 100000000, 10.753786, 4, 8
mpi_openmp_quick, 100000000, 8.085948, 5, 1
mpi_openmp_merge, 100000000, 11.773585, 5, 1
mpi_openmp_quick, 100000000, 7.956297, 5, 2
mpi_openmp_merge, 100000000, 11.022999, 5, 2
mpi_openmp_quick, 100000000, 7.988763, 5, 3
mpi_openmp_merge, 100000000, 11.078940, 5, 3
mpi_openmp_quick, 100000000, 7.867883, 5, 4
mpi_openmp_merge, 100000000, 11.500789, 5, 4
mpi_openmp_quick, 100000000, 7.957351, 5, 5
mpi_openmp_merge, 100000000, 11.097720, 5, 5
mpi_openmp_quick, 100000000, 7.865228, 5, 6
mpi_openmp_merge, 100000000, 10.971255, 5, 6
mpi_openmp_quick, 100000000, 7.878886, 5, 7
mpi_openmp_merge, 100000000, 11.077952, 5, 7
mpi_openmp_quick, 100000000, 8.328080, 5, 8
mpi_openmp_merge, 100000000, 11.070558, 5, 8
mpi_openmp_quick, 100000000, 7.393623, 6, 1
mpi_openmp_merge, 100000000, 10.379682, 6, 1
mpi_openmp_quick, 100000000, 6.959021, 6, 2
mpi_openmp_merge, 100000000, 9.822064, 6, 2
mpi_openmp_quick, 100000000, 6.949273, 6, 3
mpi_openmp_merge, 100000000, 9.829765, 6, 3
mpi_openmp_quick, 100000000, 7.175057, 6, 4
mpi_openmp_merge, 100000000, 10.332077, 6, 4
mpi_openmp_quick, 100000000, 6.972776, 6, 5
mpi_openmp_merge, 100000000, 10.014075, 6, 5
mpi_openmp_quick, 100000000, 6.964104, 6, 6
mpi_openmp_merge, 100000000, 9.961106, 6, 6
mpi_openmp_quick, 100000000, 6.973928, 6, 7
mpi_openmp_merge, 100000000, 10.211842, 6, 7
mpi_openmp_quick, 100000000, 7.002042, 6, 8
mpi_openmp_merge, 100000000, 10.711531, 6, 8
mpi_openmp_quick, 100000000, 6.565868, 7, 1
mpi_openmp_merge, 100000000, 10.374686, 7, 1
mpi_openmp_quick, 100000000, 6.619455, 7, 2
mpi_openmp_merge, 100000000, 10.121551, 7, 2
mpi_openmp_quick, 100000000, 6.539022, 7, 3
mpi_openmp_merge, 100000000, 10.196892, 7, 3
mpi_openmp_quick, 100000000, 6.499381, 7, 4
mpi_openmp_merge, 100000000, 9.940848, 7, 4
mpi_openmp_quick, 100000000, 7.222246, 7, 5
mpi_openmp_merge, 100000000, 10.762409, 7, 5
mpi_openmp_quick, 100000000, 6.855973, 7, 6
mpi_openmp_merge, 100000000, 10.272617, 7, 6
mpi_openmp_quick, 100000000, 6.558518, 7, 7
mpi_openmp_merge, 100000000, 10.212916, 7, 7
mpi_openmp_quick, 100000000, 6.545530, 7, 8
mpi_openmp_merge, 100000000, 9.852195, 7, 8
mpi_openmp_quick, 100000000, 6.361391, 8, 1
mpi_openmp_merge, 100000000, 10.054747, 8, 1
mpi_openmp_quick, 100000000, 6.424872, 8, 2
mpi_openmp_merge, 100000000, 10.172781, 8, 2
mpi_openmp_quick, 100000000, 6.245064, 8, 3
mpi_openmp_merge, 100000000, 10.180001, 8, 3
mpi_openmp_quick, 100000000, 6.273927, 8, 4
mpi_openmp_merge, 100000000, 9.865756, 8, 4
mpi_openmp_quick, 100000000, 6.315166, 8, 5
mpi_openmp_merge, 100000000, 10.039774, 8, 5
mpi_openmp_quick, 100000000, 6.283582, 8, 6
mpi_openmp_merge, 100000000, 9.832984, 8, 6
mpi_openmp_quick, 100000000, 6.207756, 8, 7
mpi_openmp_merge, 100000000, 10.361368, 8, 7
mpi_openmp_quick, 100000000, 6.280736, 8, 8
mpi_openmp_merge, 100000000, 9.456518, 8, 8
mpi_openmp_quick, 10000000, 1.954786, 1, 1
mpi_openmp_merge, 10000000, 3.052751, 1, 1
mpi_openmp_quick, 10000000, 1.986654, 1, 2
mpi_openmp_merge, 10000000, 3.042336, 1, 2
mpi_openmp_quick, 10000000, 1.991419, 1, 3
mpi_openmp_merge, 10000000, 3.022096, 1, 3
