sorting_algorithm, array_size, run_time, num_of_process
serial quick, 100, 0.000009, 8
mpi merge, 100, 0.000033, 8
mpi+openmp merge, 100, 0.000051, 8
serial merge, 100, 0.000021, 8
mpi enum, 100, 0.000039, 8
mpi+openmp enum, 100, 0.000016, 8
serial enum, 100, 0.000038, 8
mpi quick, 100, 0.000364, 8
mpi+openmp quick, 100, 0.000080, 8
serial quick, 100, 0.000009, 8
mpi merge, 100, 0.000622, 8
mpi+openmp merge, 100, 0.000402, 8
serial merge, 100, 0.000045, 8
mpi enum, 100, 0.000456, 8
mpi+openmp enum, 100, 0.000027, 8
serial enum, 100, 0.000038, 8
mpi quick, 100, 0.000326, 8
mpi+openmp quick, 100, 0.000163, 8
serial quick, 100, 0.000008, 8
mpi merge, 100, 0.000422, 8
mpi+openmp merge, 100, 0.000022, 8
serial merge, 100, 0.000021, 8
mpi enum, 100, 0.000017, 8
mpi+openmp enum, 100, 0.000017, 8
serial enum, 100, 0.000037, 8
mpi quick, 100, 0.000344, 8
mpi+openmp quick, 100, 0.000383, 8
serial quick, 100, 0.000009, 8
mpi merge, 100, 0.000051, 8
mpi+openmp merge, 100, 0.000018, 8
serial merge, 100, 0.000019, 8
mpi enum, 100, 0.000053, 8
mpi+openmp enum, 100, 0.000018, 8
serial enum, 100, 0.000036, 8
mpi quick, 100, 0.000374, 8
mpi+openmp quick, 100, 0.000474, 8
serial quick, 100, 0.000017, 8
mpi merge, 100, 0.000047, 8
mpi+openmp merge, 100, 0.000027, 8
serial merge, 100, 0.000043, 8
mpi enum, 100, 0.000026, 8
mpi+openmp enum, 100, 0.000027, 8
serial enum, 100, 0.000041, 8
mpi quick, 100, 0.000311, 8
mpi+openmp quick, 100, 0.000095, 8
serial quick, 100, 0.000008, 8
mpi merge, 100, 0.000232, 8
mpi+openmp merge, 100, 0.000055, 8
serial merge, 100, 0.000017, 8
mpi enum, 100, 0.000017, 8
mpi+openmp enum, 100, 0.000489, 8
serial enum, 100, 0.000039, 8
mpi quick, 100, 0.000369, 8
mpi+openmp quick, 100, 0.000488, 8
serial quick, 100, 0.000016, 8
mpi merge, 100, 0.000046, 8
mpi+openmp merge, 100, 0.000020, 8
serial merge, 100, 0.000040, 8
mpi enum, 100, 0.000019, 8
mpi+openmp enum, 100, 0.000166, 8
serial enum, 100, 0.000036, 8
mpi quick, 100, 0.000345, 8
mpi+openmp quick, 100, 0.000452, 8
serial quick, 100, 0.000010, 8
mpi merge, 100, 0.000162, 8
mpi+openmp merge, 100, 0.000015, 8
serial merge, 100, 0.000019, 8
mpi enum, 100, 0.000014, 8
mpi+openmp enum, 100, 0.000333, 8
serial enum, 100, 0.000037, 8
mpi quick, 100, 0.000371, 8
mpi+openmp quick, 100, 0.000161, 8
serial quick, 100, 0.000009, 8
mpi merge, 100, 0.000155, 8
mpi+openmp merge, 100, 0.000016, 8
serial merge, 100, 0.000027, 8
mpi enum, 100, 0.000017, 8
mpi+openmp enum, 100, 0.000210, 8
serial enum, 100, 0.000038, 8
mpi quick, 100, 0.000473, 8
mpi+openmp quick, 100, 0.000097, 8
serial quick, 100, 0.000008, 8
mpi merge, 100, 0.000300, 8
mpi+openmp merge, 100, 0.000328, 8
serial merge, 100, 0.000022, 8
mpi enum, 100, 0.000017, 8
mpi+openmp enum, 100, 0.000190, 8
serial enum, 100, 0.000089, 8
mpi quick, 100, 0.000256, 8
mpi+openmp quick, 100, 0.000244, 8
serial quick, 100, 0.000015, 8
mpi merge, 100, 0.000040, 8
mpi+openmp merge, 100, 0.000064, 8
serial merge, 100, 0.000042, 8
mpi enum, 100, 0.000020, 8
mpi+openmp enum, 100, 0.000198, 8
serial enum, 100, 0.000037, 8
mpi quick, 100, 0.000549, 8
mpi+openmp quick, 100, 0.000128, 8
serial quick, 100, 0.000018, 8
mpi merge, 100, 0.000123, 8
mpi+openmp merge, 100, 0.000693, 8
serial merge, 100, 0.000019, 8
mpi enum, 100, 0.000059, 8
mpi+openmp enum, 100, 0.000163, 8
serial enum, 100, 0.000040, 8
mpi quick, 20, 0.000264, 8
mpi+openmp quick, 20, 0.000200, 8
serial quick, 20, 0.000006, 8
mpi merge, 20, 0.000175, 8
mpi+openmp merge, 20, 0.000017, 8
serial merge, 20, 0.000012, 8
mpi enum, 20, 0.000013, 8
mpi+openmp enum, 20, 0.000018, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000308, 8
mpi+openmp quick, 20, 0.000054, 8
serial quick, 20, 0.000005, 8
mpi merge, 20, 0.000238, 8
mpi+openmp merge, 20, 0.000283, 8
serial merge, 20, 0.000013, 8
mpi enum, 20, 0.000252, 8
mpi+openmp enum, 20, 0.000022, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000337, 8
mpi+openmp quick, 20, 0.000136, 8
serial quick, 20, 0.000003, 8
mpi merge, 20, 0.000122, 8
mpi+openmp merge, 20, 0.000022, 8
serial merge, 20, 0.000004, 8
mpi enum, 20, 0.000786, 8
mpi+openmp enum, 20, 0.000060, 8
serial enum, 20, 0.000005, 8
mpi quick, 20, 0.000313, 8
mpi+openmp quick, 20, 0.000128, 8
serial quick, 20, 0.000002, 8
mpi merge, 20, 0.000121, 8
mpi+openmp merge, 20, 0.000562, 8
serial merge, 20, 0.000012, 8
mpi enum, 20, 0.000021, 8
mpi+openmp enum, 20, 0.000019, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000170, 8
mpi+openmp quick, 20, 0.000526, 8
serial quick, 20, 0.000005, 8
mpi merge, 20, 0.000115, 8
mpi+openmp merge, 20, 0.000652, 8
serial merge, 20, 0.000012, 8
mpi enum, 20, 0.000018, 8
mpi+openmp enum, 20, 0.000018, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000215, 8
mpi+openmp quick, 20, 0.000211, 8
serial quick, 20, 0.000006, 8
mpi merge, 20, 0.000400, 8
mpi+openmp merge, 20, 0.000020, 8
serial merge, 20, 0.000004, 8
mpi enum, 20, 0.000147, 8
mpi+openmp enum, 20, 0.000066, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000168, 8
mpi+openmp quick, 20, 0.000021, 8
serial quick, 20, 0.000005, 8
mpi merge, 20, 0.000024, 8
mpi+openmp merge, 20, 0.000185, 8
serial merge, 20, 0.000546, 8
mpi enum, 20, 0.000018, 8
mpi+openmp enum, 20, 0.000014, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000224, 8
mpi+openmp quick, 20, 0.000204, 8
serial quick, 20, 0.000006, 8
mpi merge, 20, 0.000039, 8
mpi+openmp merge, 20, 0.000438, 8
serial merge, 20, 0.000005, 8
mpi enum, 20, 0.000053, 8
mpi+openmp enum, 20, 0.000015, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000265, 8
mpi+openmp quick, 20, 0.000164, 8
serial quick, 20, 0.000007, 8
mpi merge, 20, 0.000402, 8
mpi+openmp merge, 20, 0.000192, 8
serial merge, 20, 0.000011, 8
mpi enum, 20, 0.000015, 8
mpi+openmp enum, 20, 0.000017, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000323, 8
mpi+openmp quick, 20, 0.000202, 8
serial quick, 20, 0.000003, 8
mpi merge, 20, 0.000150, 8
mpi+openmp merge, 20, 0.000089, 8
serial merge, 20, 0.000004, 8
mpi enum, 20, 0.000142, 8
mpi+openmp enum, 20, 0.000039, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000308, 8
mpi+openmp quick, 20, 0.000401, 8
serial quick, 20, 0.000009, 8
mpi merge, 20, 0.000345, 8
mpi+openmp merge, 20, 0.000682, 8
serial merge, 20, 0.000011, 8
mpi enum, 20, 0.000101, 8
mpi+openmp enum, 20, 0.000067, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000201, 8
mpi+openmp quick, 20, 0.000115, 8
serial quick, 20, 0.000004, 8
mpi merge, 20, 0.000529, 8
mpi+openmp merge, 20, 0.000596, 8
serial merge, 20, 0.000011, 8
mpi enum, 20, 0.000015, 8
mpi+openmp enum, 20, 0.000022, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000525, 8
mpi+openmp quick, 20, 0.000365, 8
serial quick, 20, 0.001113, 8
mpi merge, 20, 0.000432, 8
mpi+openmp merge, 20, 0.000294, 8
serial merge, 20, 0.001478, 8
mpi enum, 20, 0.000022, 8
mpi+openmp enum, 20, 0.000018, 8
serial enum, 20, 0.000024, 8
mpi quick, 20, 0.000266, 8
mpi+openmp quick, 20, 0.000159, 8
serial quick, 20, 0.000049, 8
mpi merge, 20, 0.000447, 8
mpi+openmp merge, 20, 0.000298, 8
serial merge, 20, 0.000047, 8
mpi enum, 20, 0.000020, 8
mpi+openmp enum, 20, 0.000017, 8
serial enum, 20, 0.000023, 8
mpi quick, 20, 0.000189, 8
mpi+openmp quick, 20, 0.000115, 8
serial quick, 20, 0.000044, 8
mpi merge, 20, 0.000240, 8
mpi+openmp merge, 20, 0.000425, 8
serial merge, 20, 0.000048, 8
mpi enum, 20, 0.000024, 8
mpi+openmp enum, 20, 0.000020, 8
serial enum, 20, 0.000047, 8
mpi quick, 20, 0.000207, 8
mpi+openmp quick, 20, 0.000185, 8
serial quick, 20, 0.000044, 8
mpi merge, 20, 0.000043, 8
mpi+openmp merge, 20, 0.000094, 8
serial merge, 20, 0.001062, 8
mpi enum, 20, 0.000025, 8
mpi+openmp enum, 20, 0.000013, 8
serial enum, 20, 0.000082, 8
mpi quick, 20, 0.002685, 8
mpi+openmp quick, 20, 0.006549, 8
serial quick, 20, 0.004021, 8
mpi merge, 20, 0.006052, 8
mpi+openmp merge, 20, 0.000212, 8
serial merge, 20, 0.001988, 8
mpi enum, 20, 0.006432, 8
mpi+openmp enum, 20, 0.000959, 8
serial enum, 20, 0.000025, 8
mpi quick, 20, 0.000182, 8
mpi+openmp quick, 20, 0.000126, 8
serial quick, 20, 0.005877, 8
mpi merge, 20, 0.000239, 8
mpi+openmp merge, 20, 0.000207, 8
serial merge, 20, 0.000048, 8
mpi enum, 20, 0.000032, 8
mpi+openmp enum, 20, 0.000081, 8
serial enum, 20, 0.000022, 8
mpi quick, 20, 0.000342, 8
mpi+openmp quick, 20, 0.000049, 8
serial quick, 20, 0.000019, 8
mpi merge, 20, 0.000111, 8
mpi+openmp merge, 20, 0.000133, 8
serial merge, 20, 0.000020, 8
mpi enum, 20, 0.000372, 8
mpi+openmp enum, 20, 0.000014, 8
serial enum, 20, 0.000020, 8
mpi quick, 20, 0.000318, 8
mpi+openmp quick, 20, 0.000128, 8
serial quick, 20, 0.000003, 8
mpi merge, 20, 0.000088, 8
mpi+openmp merge, 20, 0.000474, 8
serial merge, 20, 0.000005, 8
mpi enum, 20, 0.000013, 8
mpi+openmp enum, 20, 0.000017, 8
serial enum, 20, 0.000005, 8
mpi quick, 20, 0.000370, 8
mpi+openmp quick, 20, 0.000212, 8
serial quick, 20, 0.000004, 8
mpi merge, 20, 0.000145, 8
mpi+openmp merge, 20, 0.000447, 8
serial merge, 20, 0.000004, 8
mpi enum, 20, 0.000012, 8
mpi+openmp enum, 20, 0.000015, 8
serial enum, 20, 0.000002, 8
mpi quick, 20, 0.000283, 8
mpi+openmp quick, 20, 0.000237, 8
mpi quick, 20, 0.000166, 8
mpi+openmp quick, 20, 0.000231, 8
serial quick, 20, 0.000006, 8
mpi merge, 20, 0.000262, 8
mpi+openmp merge, 20, 0.000155, 8
serial merge, 20, 0.000012, 8
mpi enum, 20, 0.000019, 8
mpi+openmp enum, 20, 0.000137, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000200, 8
mpi+openmp quick, 20, 0.000349, 8
serial quick, 20, 0.000005, 8
mpi merge, 20, 0.000187, 8
mpi+openmp merge, 20, 0.000037, 8
serial merge, 20, 0.000011, 8
mpi enum, 20, 0.000061, 8
mpi+openmp enum, 20, 0.000017, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000233, 8
mpi+openmp quick, 20, 0.000515, 8
serial quick, 20, 0.000003, 8
mpi merge, 20, 0.000039, 8
